public_code,name_client,name_technical,short_description,visual_description,initial_position,final_position,key_action,recommended_view,exercise_family,category,body_zone,primary_muscle,secondary_muscles,movement_pattern,material_required,difficulty,intensity,impact_level,technical_risk,space_needed,duration_estimate_seconds,reps_estimate,suitable_for,avoid_if,status,source,notes
Z50-EJ-0049,Aperturas de pecho con banda,Apertura horizontal de pecho con banda elástica,Persona abre los brazos contra una banda anclada detrás,Persona abre los brazos contra una banda anclada detrás,"De pie, banda anclada detrás, brazos abiertos ligeramente flexionados",Manos se aproximan delante del pecho,Cerrar brazos,Frontal 3/4,strength,Fuerza resistencia,Tren superior,Pectoral,"{""Hombro""}",Aducción horizontal,"{""Banda elástica""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Controlar hombros
Z50-EJ-0050,Press de pecho con banda,Press de pecho de pie con banda elástica,Persona empuja la banda hacia delante a la altura del pecho,Persona empuja la banda hacia delante a la altura del pecho,"Banda anclada detrás, manos al pecho",Brazos extendidos al frente,Empujar al frente,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Pectoral,"{""Tríceps"",""hombro""}",Empuje horizontal,"{""Banda elástica""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Anclaje seguro en puerta/pared
Z50-EJ-0051,Pull apart con banda,Separación horizontal con banda elástica,Persona separa las manos estirando la banda frente al pecho,Persona separa las manos estirando la banda frente al pecho,"De pie, banda frente al pecho, brazos extendidos","Manos separadas, banda tensa",Abrir brazos,Frontal,yoga,Postura / activación,Tren superior,Deltoides posterior,"{""Romboides""}",Retracción escapular,"{""Banda elástica""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Muy visual y fácil
Z50-EJ-0052,Buenos días con banda,Good morning con banda elástica,Persona realiza bisagra de cadera con banda bajo pies y sobre hombros,Persona realiza bisagra de cadera con banda bajo pies y sobre hombros,"De pie, banda bajo pies y detrás del cuello/hombros",Cadera atrás y tronco inclinado,Bisagra de cadera,Lateral 3/4,strength,Cadena posterior,Tren inferior,Isquiotibiales,"{""Glúteo"",""lumbar""}",Bisagra,"{""Banda elástica""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Requiere técnica de bisagra
Z50-EJ-0053,Sentadilla con banda,Sentadilla con banda elástica bajo pies,Persona realiza sentadilla sujetando la banda a la altura de hombros,Persona realiza sentadilla sujetando la banda a la altura de hombros,"De pie sobre banda, manos a hombros",Sentadilla con tensión elástica,Bajar y subir,Frontal 3/4,strength,Fuerza resistencia,Tren inferior,Cuádriceps,"{""Glúteo""}",Sentadilla con resistencia,"{""Banda elástica""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Buena progresión desde peso corporal
Z50-EJ-0054,Press Pallof medio arrodillado,Pallof press en posición medio arrodillada,Persona con una rodilla en suelo empuja banda al frente sin rotar,Persona con una rodilla en suelo empuja banda al frente sin rotar,"Media rodilla, lateral al anclaje, banda al pecho","Brazos extendidos, tronco estable",Empujar y resistir rotación,Frontal 3/4,strength,Core / estabilidad,Core,Oblicuos,"{""Glúteo"",""estabilidad cadera""}",Anti-rotación,"{""Banda elástica""}",intermediate,medium,low,medium,low,30,,"{""Readaptación"",""general""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Variante excelente para control lumbopélvico
Z50-EJ-0055,Caminata lateral con minibanda,Monster walk lateral con minibanda,Persona camina lateralmente manteniendo tensión en la banda,Persona camina lateralmente manteniendo tensión en la banda,"De pie, minibanda sobre rodillas o tobillos, ligera sentadilla",Pasos laterales controlados sin juntar del todo los pies,Caminar lateral,Frontal 3/4,strength,Activación glútea,Tren inferior,Glúteo medio,"{""Cuádriceps"",""core""}",Abducción / desplazamiento lateral,"{""Minibanda""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Muy útil para retos GAP
Z50-EJ-0056,Monster walk adelante,Caminata diagonal con minibanda,Persona avanza con pasos diagonales manteniendo tensión en minibanda,Persona avanza con pasos diagonales manteniendo tensión en minibanda,"De pie, minibanda sobre rodillas/tobillos, ligera sentadilla",Paso diagonal adelante manteniendo rodillas alineadas,Avanzar con tensión,Frontal 3/4,strength,Activación glútea,Tren inferior,Glúteo medio,"{""Glúteo mayor"",""cuádriceps""}",Desplazamiento con resistencia,"{""Minibanda""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Ideal en calentamiento
Z50-EJ-0057,Sentadilla con minibanda,Sentadilla con minibanda sobre rodillas,Persona hace sentadilla manteniendo las rodillas contra la banda,Persona hace sentadilla manteniendo las rodillas contra la banda,"De pie, minibanda sobre rodillas",Sentadilla con rodillas alineadas y banda tensa,Bajar y abrir rodillas,Frontal 3/4,strength,Activación glútea / fuerza,Tren inferior,Cuádriceps,"{""Glúteo medio"",""glúteo mayor""}",Sentadilla / abducción,"{""Minibanda""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Muy visual para carteles
Z50-EJ-0058,Puente de glúteo con minibanda,Puente de glúteo con minibanda sobre rodillas,Persona eleva cadera manteniendo rodillas abiertas contra banda,Persona eleva cadera manteniendo rodillas abiertas contra banda,"Tumbado, minibanda sobre rodillas, pies apoyados",Cadera elevada con rodillas alineadas,Elevar cadera y resistir banda,Lateral 3/4,strength,Activación glútea,Tren inferior,Glúteo mayor,"{""Glúteo medio"",""isquios""}",Extensión de cadera + abducción,"{""Minibanda""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Base GAP
Z50-EJ-0059,Patada de glúteo con minibanda,Extensión de cadera en cuadrupedia con minibanda,Persona en cuadrupedia extiende una pierna hacia atrás contra la banda,Persona en cuadrupedia extiende una pierna hacia atrás contra la banda,"Cuadrupedia, minibanda en pies o muslos",Pierna se extiende atrás manteniendo pelvis estable,Extender cadera,Lateral 3/4,strength,Activación glútea,Tren inferior,Glúteo mayor,"{""Core""}",Extensión de cadera,"{""Minibanda""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Cuidado con arquear lumbar
Z50-EJ-0060,Fire hydrant con minibanda,Abducción de cadera en cuadrupedia con minibanda,Persona en cuadrupedia eleva la rodilla lateralmente contra la banda,Persona en cuadrupedia eleva la rodilla lateralmente contra la banda,"Cuadrupedia, minibanda sobre rodillas",Rodilla abre hacia el lateral sin girar tronco,Abrir cadera,Lateral 3/4,strength,Activación glútea,Tren inferior,Glúteo medio,"{""Core""}",Abducción de cadera,"{""Minibanda""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Muy claro para app y carteles
Z50-EJ-0061,Remo en TRX,Remo invertido con suspensión TRX,Persona inclinada tira del cuerpo hacia las asas del TRX,Persona inclinada tira del cuerpo hacia las asas del TRX,"De pie inclinado hacia atrás, brazos extendidos, cuerpo alineado","Pecho se acerca a las asas, codos atrás",Tirar del cuerpo,Lateral 3/4,yoga,Fuerza resistencia / postura,Tren superior,Dorsal,"{""Romboides"",""bíceps""}",Tracción horizontal,"{""TRX"",""suspensión""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,La inclinación regula dificultad
Z50-EJ-0062,Press de pecho en TRX,Flexión/press de pecho con suspensión TRX,Persona inclinada hacia delante empuja desde las asas del TRX,Persona inclinada hacia delante empuja desde las asas del TRX,"De pie inclinado al frente, manos en asas, codos flexionados",Brazos extendidos empujando el cuerpo atrás,Empujar,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Pectoral,"{""Tríceps"",""hombro"",""core""}",Empuje horizontal,"{""TRX"",""suspensión""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Más vertical = más fácil
Z50-EJ-0063,Sentadilla asistida en TRX,Sentadilla agarrado al TRX,Persona realiza sentadilla ayudándose de las asas del TRX,Persona realiza sentadilla ayudándose de las asas del TRX,"De pie agarrado a TRX, brazos extendidos",Cadera baja en sentadilla manteniendo asistencia,Bajar y subir asistido,Frontal 3/4,strength,Fuerza resistencia / técnica,Tren inferior,Cuádriceps,"{""Glúteo""}",Sentadilla asistida,"{""TRX"",""suspensión""}",beginner,low,low,medium,low,30,,"{""Iniciación""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Buena para principiantes
Z50-EJ-0064,Zancada atrás asistida en TRX,Zancada posterior sujetando TRX,Persona da un paso atrás mientras se ayuda con las asas,Persona da un paso atrás mientras se ayuda con las asas,De pie agarrado al TRX,Zancada posterior controlada,Paso atrás y subir,Lateral 3/4,strength,Fuerza resistencia / estabilidad,Tren inferior,Cuádriceps,"{""Glúteo""}",Zancada asistida,"{""TRX"",""suspensión""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Asistencia regulable
Z50-EJ-0065,Curl bíceps en TRX,Curl de bíceps con suspensión TRX,Persona inclinada flexiona codos tirando del cuerpo hacia las asas,Persona inclinada flexiona codos tirando del cuerpo hacia las asas,"Cuerpo inclinado atrás, brazos extendidos","Codos flexionados, manos cerca de frente",Flexionar codos,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Bíceps,"{""Core""}",Flexión de codo,"{""TRX"",""suspensión""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Visualmente atractivo
Z50-EJ-0066,Extensión tríceps en TRX,Extensión de tríceps con suspensión TRX,Persona inclinada flexiona y extiende codos con asas al frente,Persona inclinada flexiona y extiende codos con asas al frente,"Cuerpo inclinado al frente, codos flexionados",Brazos extendidos controlando el cuerpo,Extender codos,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Tríceps,"{""Hombro"",""core""}",Extensión de codo,"{""TRX"",""suspensión""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Más vertical = más fácil
Z50-EJ-0067,Plancha con pies en TRX,Plancha frontal con pies suspendidos,Persona mantiene plancha con pies dentro de las asas TRX,Persona mantiene plancha con pies dentro de las asas TRX,"Manos/antebrazos en suelo, pies en TRX",Cuerpo alineado con pies suspendidos,Sostener,Lateral,strength,Core / estabilidad,Core,Abdominales,"{""Hombro"",""glúteo""}",Isométrico core,"{""TRX"",""suspensión""}",advanced,high,low,medium,low,20,,"{""Deportista""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Progresión avanzada
Z50-EJ-0068,Curl femoral en TRX,Curl femoral con talones en TRX,Persona tumbada flexiona rodillas con talones en asas y cadera elevada,Persona tumbada flexiona rodillas con talones en asas y cadera elevada,"Tumbado boca arriba, talones en TRX, cadera elevada","Rodillas flexionadas, talones acercan hacia glúteos",Flexionar rodillas,Lateral,strength,Cadena posterior,Tren inferior,Isquiotibiales,"{""Glúteo"",""core""}",Flexión de rodilla,"{""TRX"",""suspensión""}",intermediate,medium_high,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/periodic-table-of-suspension-exercises/,Muy bueno para retos funcionales
Z50-EJ-0069,Press suelo con mancuernas,Press de pecho en suelo con mancuernas o botellas,Persona tumbada empuja dos cargas desde el pecho hacia arriba,Persona tumbada empuja dos cargas desde el pecho hacia arriba,"Tumbado boca arriba, codos en suelo, carga en manos",Brazos extendidos sobre el pecho,Empujar arriba,Frontal 3/4,strength,Fuerza resistencia,Tren superior,Pectoral,"{""Tríceps"",""hombro""}",Empuje horizontal,"{""Mancuernas"",""botellas""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Más seguro que banco para casa
Z50-EJ-0070,Remo unilateral con mancuerna,Remo a una mano con mancuerna o botella,Persona apoya una mano y tira de la carga con el brazo contrario,Persona apoya una mano y tira de la carga con el brazo contrario,"Apoyo en silla/banco, carga en una mano",Codo atrás y carga cerca del costado,Tirar hacia costado,Lateral 3/4,yoga,Fuerza resistencia / postura,Tren superior,Dorsal,"{""Romboides"",""bíceps""}",Tracción horizontal,"{""Mancuerna"",""botella""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Puede hacerse con garrafa ligera
Z50-EJ-0071,Peso muerto rumano con mancuernas,Bisagra de cadera con dos mancuernas o botellas,Persona baja cargas junto a piernas llevando cadera atrás,Persona baja cargas junto a piernas llevando cadera atrás,"De pie, carga en ambas manos","Cadera atrás, tronco inclinado y espalda neutra",Bisagra de cadera,Lateral 3/4,strength,Cadena posterior,Tren inferior,Isquiotibiales,"{""Glúteo"",""lumbar""}",Bisagra,"{""Mancuernas"",""botellas""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Clave técnica de cadera atrás
Z50-EJ-0072,Sentadilla goblet,Sentadilla goblet con mancuerna/kettlebell/botella grande,Persona sostiene carga al pecho y baja en sentadilla,Persona sostiene carga al pecho y baja en sentadilla,"De pie, carga pegada al pecho",Sentadilla profunda controlada,Bajar y subir,Frontal 3/4,strength,Fuerza resistencia,Tren inferior,Cuádriceps,"{""Glúteo"",""core""}",Sentadilla con carga anterior,"{""Kettlebell"",""mancuerna"",""botella""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Muy útil para app por su claridad
Z50-EJ-0073,Farmer carry,Paseo del granjero con cargas,Persona camina sosteniendo cargas a ambos lados,Persona camina sosteniendo cargas a ambos lados,"De pie, carga en cada mano, postura erguida",Camina manteniendo tronco estable,Caminar con carga,Frontal 3/4,functional,Fuerza funcional / core,Full body,Agarre / core,"{""Trapecio"",""piernas""}",Transporte de carga,"{""Mancuernas"",""botellas"",""garrafas""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Ideal con garrafas de agua
Z50-EJ-0074,Thruster con botellas,Sentadilla + press con botellas o mancuernas,Persona hace sentadilla y termina empujando cargas por encima de cabeza,Persona hace sentadilla y termina empujando cargas por encima de cabeza,"Cargas en hombros, pies anchura caderas",Brazos extendidos arriba tras subir de sentadilla,"Bajar, subir y empujar",Frontal 3/4,cardio_low_impact,Full body / cardio fuerza,Full body,Cuádriceps,"{""Hombro"",""glúteo"",""core""}",Sentadilla + empuje vertical,"{""Botellas"",""mancuernas""}",intermediate,medium_high,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Ejercicio muy dinámico para retos
Z50-EJ-0075,Swing con kettlebell,Kettlebell swing ruso,Persona balancea la kettlebell desde bisagra de cadera hasta altura de pecho,Persona balancea la kettlebell desde bisagra de cadera hasta altura de pecho,"De pie, kettlebell entre piernas, cadera atrás",Kettlebell a altura de pecho con cadera extendida,Impulsar con cadera,Lateral 3/4,strength,Potencia / resistencia,Full body,Glúteo,"{""Isquios"",""core"",""hombro""}",Bisagra dinámica,"{""Kettlebell""}",intermediate,high,low,medium,low,20,,"{""General"",""deportista""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Requiere técnica; no primer reto de principiantes
Z50-EJ-0076,Peso muerto con kettlebell,Peso muerto tipo maleta/goblet con kettlebell,Persona levanta kettlebell desde el suelo mediante bisagra,Persona levanta kettlebell desde el suelo mediante bisagra,"De pie sobre kettlebell, cadera atrás",Cuerpo erguido con kettlebell en manos,Extender cadera,Lateral 3/4,strength,Cadena posterior,Tren inferior,Glúteo,"{""Isquios"",""lumbar""}",Bisagra,"{""Kettlebell""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Precursor del swing
Z50-EJ-0077,Press de hombro con kettlebell,Press militar unilateral con kettlebell,Persona empuja kettlebell desde rack hasta encima de la cabeza,Persona empuja kettlebell desde rack hasta encima de la cabeza,Kettlebell en rack a la altura del hombro,Brazo extendido sobre cabeza,Empujar arriba,Frontal 3/4,strength,Fuerza resistencia,Tren superior,Hombro,"{""Tríceps"",""core""}",Empuje vertical,"{""Kettlebell""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Controlar costillas y lumbar
Z50-EJ-0078,Remo con kettlebell,Remo unilateral con kettlebell,Persona inclina el tronco y tira de kettlebell hacia la cadera,Persona inclina el tronco y tira de kettlebell hacia la cadera,"Tronco inclinado, una kettlebell en mano","Codo atrás, kettlebell cerca de cadera",Tirar hacia cadera,Lateral 3/4,yoga,Fuerza resistencia / postura,Tren superior,Dorsal,"{""Bíceps"",""romboides""}",Tracción horizontal,"{""Kettlebell""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Buena alternativa a mancuerna
Z50-EJ-0079,Halo con kettlebell,Halo alrededor de la cabeza con kettlebell,Persona mueve la kettlebell alrededor de la cabeza con control,Persona mueve la kettlebell alrededor de la cabeza con control,"De pie, kettlebell frente al pecho",Kettlebell rodea la cabeza y vuelve al frente,Rotar alrededor de cabeza,Frontal 3/4,mobility,Movilidad + control,Tren superior,Hombro,"{""Core"",""movilidad torácica""}",Movilidad hombro / control,"{""Kettlebell""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.nasm.org/resource-center/exercise-library,Cargar poco al inicio
Z50-EJ-0080,Plancha sobre fitball,Plancha con antebrazos sobre fitball,Persona mantiene plancha apoyando antebrazos en fitball,Persona mantiene plancha apoyando antebrazos en fitball,"Antebrazos sobre fitball, pies en suelo",Cuerpo alineado y pelota estable,Sostener y estabilizar,Lateral,strength,Core / estabilidad,Core,Abdominales,"{""Hombro"",""glúteo""}",Isométrico inestable,"{""Fitball""}",intermediate,medium,low,medium,low,20,,"{""General""}",{},draft,https://stack52.com/library-of-exercises/,Progresión de plancha frontal
Z50-EJ-0081,Pike sobre fitball,Pike con pies sobre fitball,Persona lleva cadera arriba rodando fitball con los pies,Persona lleva cadera arriba rodando fitball con los pies,"Plancha alta, pies sobre fitball",Cadera elevada formando V invertida,Elevar cadera,Lateral,strength,Core / fuerza,Core,Abdominales,"{""Hombro"",""flexores cadera""}",Core dinámico,"{""Fitball""}",advanced,high,low,medium,low,20,,"{""Deportista""}",{},draft,https://stack52.com/library-of-exercises/,Avanzado; gran impacto visual
Z50-EJ-0082,Curl femoral con fitball,Curl de isquiotibiales con talones sobre fitball,Persona eleva cadera y acerca fitball con los talones,Persona eleva cadera y acerca fitball con los talones,"Tumbado boca arriba, talones sobre fitball, cadera elevada","Rodillas flexionadas, pelota cerca de glúteos",Flexionar rodillas,Lateral,strength,Cadena posterior,Tren inferior,Isquiotibiales,"{""Glúteo"",""core""}",Flexión de rodilla,"{""Fitball""}",intermediate,medium_high,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/library-of-exercises/,Muy útil para retos de glúteo/isquio
Z50-EJ-0083,Wall squat con fitball,Sentadilla con fitball en pared,Persona baja en sentadilla con fitball entre espalda y pared,Persona baja en sentadilla con fitball entre espalda y pared,"Espalda contra fitball en pared, pies adelantados","Rodillas flexionadas, fitball rueda por la pared",Bajar y subir,Lateral 3/4,strength,Fuerza resistencia / control,Tren inferior,Cuádriceps,"{""Glúteo""}",Sentadilla asistida,"{""Fitball"",""pared""}",beginner,medium,low,medium,low,30,,"{""Iniciación"",""general""}",{},draft,https://stack52.com/library-of-exercises/,Muy visual y seguro para principiantes
Z50-EJ-0084,Transferencia de pelota pilates,Dead bug con pelota pequeña entre manos y rodillas,Persona aprieta pelota entre manos y rodillas alternando extensiones,Persona aprieta pelota entre manos y rodillas alternando extensiones,"Tumbado boca arriba, pelota entre manos y rodillas",Extiende brazo/pierna manteniendo presión,Estabilizar y extender,Superior 3/4,pilates,Core / control motor,Core,Abdominales profundos,"{""Flexores cadera""}",Anti-extensión core,"{""Pelota pilates""}",beginner,low,low,medium,low,30,,"{""Readaptación"",""general""}",{},draft,https://stack52.com/library-of-exercises/,Excelente para control lumbopélvico
Z50-EJ-0085,Automasaje gemelo con foam roller,Liberación miofascial de gemelos con foam roller,Persona sentada rueda el gemelo sobre el foam roller,Persona sentada rueda el gemelo sobre el foam roller,"Sentado, foam roller bajo gemelo",Pierna se desplaza sobre el rodillo,Rodar tejido,Lateral,mobility,Movilidad / recuperación,Movilidad,Gemelos,"{""Sóleo""}",Automasaje / movilidad,"{""Foam roller""}",beginner,low,low,medium,low,30,,"{""General"",""deportista""}",{},draft,https://stack52.com/library-of-exercises/,No es reto de fuerza; útil en calentamiento/vuelta a la calma
Z50-EJ-0086,Automasaje cuádriceps con foam roller,Liberación miofascial de cuádriceps con foam roller,Persona boca abajo rueda el muslo anterior sobre el foam roller,Persona boca abajo rueda el muslo anterior sobre el foam roller,"Prono, foam roller bajo muslo",Cuerpo avanza y retrocede sobre rodillo,Rodar tejido,Lateral,mobility,Movilidad / recuperación,Movilidad,Cuádriceps,"{""Flexores cadera""}",Automasaje / movilidad,"{""Foam roller""}",beginner,low,low,medium,low,30,,"{""General"",""deportista""}",{},draft,https://stack52.com/library-of-exercises/,Cuidado si hay dolor excesivo
Z50-EJ-0087,Automasaje dorsal con foam roller,Extensión torácica y masaje dorsal con foam roller,Persona tumbada boca arriba rueda la zona dorsal sobre foam roller,Persona tumbada boca arriba rueda la zona dorsal sobre foam roller,"Tumbado boca arriba, rodillo bajo espalda alta",Extensión torácica suave y rodado controlado,Rodar/extender dorsal,Lateral,yoga,Movilidad / postura,Movilidad,Dorsal / espalda alta,"{""Columna torácica""}",Movilidad torácica,"{""Foam roller""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/library-of-exercises/,Útil para higiene postural
Z50-EJ-0088,Movilidad torácica en foam roller,Extensión torácica sobre foam roller,Persona apoya espalda alta sobre foam roller y abre el pecho,Persona apoya espalda alta sobre foam roller y abre el pecho,"Tumbado boca arriba, foam roller transversal bajo dorsal",Extiende la columna torácica suavemente,Extender columna torácica,Lateral,yoga,Movilidad / postura,Movilidad,Espalda alta,"{""Pectoral"",""hombro""}",Movilidad torácica,"{""Foam roller""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://stack52.com/library-of-exercises/,Muy buena para trabajo preventivo
Z50-EJ-0089,Respiración diafragmática tumbado,Respiración diafragmática en decúbito supino,"Persona tumbada coloca una mano en pecho y otra en abdomen, respirando hacia la barriga","Persona tumbada coloca una mano en pecho y otra en abdomen, respirando hacia la barriga","Tumbado boca arriba, rodillas flexionadas, manos en pecho y abdomen",Abdomen se eleva al inspirar y baja al espirar,Respirar profundo y lento,Superior / lateral 3/4,breathing,Relajación / control respiratorio,Respiración / relajación,Diafragma,"{""Suelo pélvico"",""core profundo""}",Respiración diafragmática,"{""Sin material"",""esterilla""}",beginner,low,none,medium,low,3,,"{""General"",""estrés"",""senior""}",{},draft,https://www.nhs.uk/mental-health/self-help/guides-tools-and-activities/breathing-exercises-for-stress/,Ideal para cierre de sesión y clientes con estrés
Z50-EJ-0090,Respiración costal lateral,Respiración costal lateral con manos en costillas,Persona sentada o tumbada dirige el aire hacia las costillas laterales,Persona sentada o tumbada dirige el aire hacia las costillas laterales,"Sentado o tumbado, manos rodeando costillas",Costillas se expanden lateralmente sin elevar hombros,Expandir costillas,Frontal 3/4,breathing,Conciencia corporal / movilidad torácica,Respiración / movilidad,Caja torácica,"{""Diafragma"",""intercostales""}",Respiración costal,"{""Sin material""}",beginner,low,none,medium,low,2,,"{""General"",""pilates""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Muy útil como introducción a Pilates
Z50-EJ-0091,Respiración 4-4 en caja,Box breathing 4-4-4-4,"Persona sentada sigue cuatro fases: inspirar, mantener, espirar y mantener","Persona sentada sigue cuatro fases: inspirar, mantener, espirar y mantener","Sentado cómodo, espalda larga, hombros relajados",Mantener ritmo regular sin tensión,Respirar por fases,Frontal,breathing,Regulación / calma,Respiración / relajación,Sistema respiratorio,"{""Atención"",""concentración""}",Respiración controlada,"{""Sin material""}",beginner,low,none,medium,low,2,,"{""General"",""estrés""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Usar como recurso breve de calma
Z50-EJ-0092,Respiración 4-7-8,Respiración controlada 4-7-8,"Persona sentada inspira, mantiene y exhala lentamente siguiendo conteo","Persona sentada inspira, mantiene y exhala lentamente siguiendo conteo","Sentado cómodo, lengua relajada, mirada suave",Exhalación larga y controlada,Inspirar-retener-exhalar,Frontal,breathing,Relajación / sueño,Respiración / relajación,Sistema respiratorio,"{""Atención"",""concentración""}",Respiración controlada,"{""Sin material""}",beginner,low,none,medium,low,2,,"{""General"",""estrés""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Evitar en personas que se mareen; hacerlo suave
Z50-EJ-0093,Respiración con labios fruncidos,Respiración con labios fruncidos,Persona inspira por nariz y exhala lento con labios como si soplara,Persona inspira por nariz y exhala lento con labios como si soplara,"Sentado o de pie, hombros relajados",Exhalación lenta y prolongada por labios fruncidos,Exhalar lento,Frontal 3/4,breathing,Control respiratorio,Respiración / relajación,Sistema respiratorio,"{""Diafragma""}",Respiración controlada,"{""Sin material""}",beginner,low,none,medium,low,2,,"{""General""}",{},draft,https://www.nhs.uk/mental-health/self-help/guides-tools-and-activities/breathing-exercises-for-stress/,Técnica sencilla para bajar intensidad
Z50-EJ-0094,Escaneo corporal guiado,Body scan con respiración consciente,Persona tumbada lleva la atención por zonas del cuerpo respirando lento,Persona tumbada lleva la atención por zonas del cuerpo respirando lento,Tumbado boca arriba o sentado cómodo,Atención recorre cuerpo de pies a cabeza,Observar y soltar tensión,Superior / cenital,relaxation,Relajación / conciencia corporal,Relajación,Sistema nervioso,"{""Respiración""}",Mindfulness / relajación,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,5,,"{""General"",""estrés""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Muy útil para fidelización y sesiones de recuperación
Z50-EJ-0095,Relajación progresiva de hombros,Contracción-relajación de hombros y cuello,"Persona eleva hombros, mantiene tensión breve y relaja","Persona eleva hombros, mantiene tensión breve y relaja","Sentado, brazos al lado del cuerpo",Hombros bajan y cuello queda relajado,Tensar y soltar,Frontal,strength,Relajación / descarga cervical,Relajación,Trapecio,"{""Cuello""}",Relajación muscular progresiva,"{""Sin material""}",beginner,low,low,medium,low,1,,"{""General"",""oficina""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Ideal para pausas activas
